original_content variant_content original_content_hudson variant_content_hudson original_function variant_function original_function_hudson variant_function_hudson
9 9 7 7 5 5 3 3
7 9 5 7 5 7 3 5
7 8 5 6 4 5 2 3
8 10 6 8 6 8 4 6
9 10 7 8 6 7 4 5
12 12 10 10 10 10 8 8
7 6 5 4 5 4 3 2
7 10 5 8 4 7 2 5
8 10 6 8 6 8 4 6
6 7 4 5 4 5 2 3
8 10 6 8 5 7 3 5
8 10 6 8 5 7 3 5
9 8 7 6 7 6 5 4
10 12 8 10 7 9 5 7
6 6 4 4 4 4 2 2
8 16 6 14 6 14 4 12
12 12 10 10 9 9 7 7
7 8 5 6 4 5 2 3
8 9 6 7 5 6 3 4
6 6 4 4 4 4 2 2
15 12 13 10 8 5 6 3
7 7 5 5 5 5 3 3
7 8 5 6 5 6 3 4
18 19 16 17 15 16 13 14
6 12 4 10 4 10 2 8
6 8 4 6 4 6 2 4
6 10 4 8 4 8 2 6
20 18 18 16 17 15 15 13
7 8 5 6 4 5 2 3
8 7 6 5 5 4 3 2
18 22 16 20 7 11 5 9
10 19 8 17 7 16 5 14
6 7 4 5 4 5 2 3
9 12 7 10 7 10 5 8
6 11 4 9 4 9 2 7
11 11 9 9 9 9 7 7
9 11 7 9 6 8 4 6
8 10 6 8 5 7 3 5
7 8 5 6 4 5 2 3
9 11 7 9 6 8 4 6
10 19 8 17 5 14 3 12
16 11 14 9 13 8 11 6
12 16 10 14 10 14 8 12
15 14 13 12 12 11 10 9
12 13 10 11 7 8 5 6
10 9 8 7 6 5 4 3
15 19 13 17 13 17 11 15
10 8 8 6 7 5 5 3
12 16 10 14 10 14 8 12
6 9 4 7 4 7 2 5
6 11 4 9 4 9 2 7
8 12 6 10 4 8 2 6
6 8 4 6 4 6 2 4
8 12 6 10 6 10 4 8
6 6 4 4 4 4 2 2
22 14 20 12 20 12 18 10
12 11 10 9 10 9 8 7
9 9 7 7 6 6 4 4
21 16 19 14 19 14 17 12
6 10 4 8 4 8 2 6
10 13 8 11 8 11 6 9
11 13 9 11 5 7 3 5
9 18 7 16 7 16 5 14
6 6 4 4 4 4 2 2
6 6 4 4 4 4 2 2
7 9 5 7 5 7 3 5
6 6 4 4 4 4 2 2
21 24 19 22 17 20 15 18
12 11 10 9 7 6 5 4
9 10 7 8 6 7 4 5
9 8 7 6 7 6 5 4
11 -4 9 -6 7 -8 5 -10
6 6 4 4 4 4 2 2
8 8 6 6 5 5 3 3
7 10 5 8 4 7 2 5
14 9 12 7 10 5 8 3
8 10 6 8 5 7 3 5
9 13 7 11 6 10 4 8
9 7 7 5 6 4 4 2
10 12 8 10 7 9 5 7
9 11 7 9 5 7 3 5
9 9 7 7 5 5 3 3
8 10 6 8 6 8 4 6
6 10 4 8 4 8 2 6
8 18 6 16 4 14 2 12
11 13 9 11 7 9 5 7
8 11 6 9 6 9 4 7
10 8 8 6 7 5 5 3
7 8 5 6 4 5 2 3
9 20 7 18 7 18 5 16
6 6 4 4 4 4 2 2
7 8 5 6 4 5 2 3
10 14 8 12 5 9 3 7
10 11 8 9 5 6 3 4
8 17 6 15 5 14 3 12
9 11 7 9 5 7 3 5
10 19 8 17 7 16 5 14
7 8 5 6 5 6 3 4
7 8 5 6 4 5 2 3
11 12 9 10 6 7 4 5
8 6 6 4 6 4 4 2
11 28 9 26 9 26 7 24
8 -3 6 -5 5 -6 3 -8
6 6 4 4 4 4 2 2
10 11 8 9 8 9 6 7
11 10 9 8 7 6 5 4
8 11 6 9 5 8 3 6
12 21 10 19 9 18 7 16
7 38 5 36 4 35 2 33
10 8 8 6 7 5 5 3
19 28 17 26 13 22 11 20
7 8 5 6 4 5 2 3
14 11 12 9 11 8 9 6
19 17 17 15 16 14 14 12
12 18 10 16 10 16 8 14
8 18 6 16 5 15 3 13
13 12 11 10 10 9 8 7
9 11 7 9 4 6 2 4
15 27 13 25 11 23 9 21
9 12 7 10 5 8 3 6
24 34 22 32 4 14 2 12
7 17 5 15 4 14 2 12
9 11 7 9 6 8 4 6
8 7 6 5 5 4 3 2
7 8 5 6 4 5 2 3
11 11 9 9 8 8 6 6
15 19 13 17 11 15 9 13
12 15 10 13 8 11 6 9
8 7 6 5 5 4 3 2
7 8 5 6 4 5 2 3
9 17 7 15 6 14 4 12
6 10 4 8 4 8 2 6
8 10 6 8 5 7 3 5
8 3 6 1 5 0 3 -2
10 -28 8 -30 8 -30 6 -32
8 11 6 9 6 9 4 7
12 11 10 9 7 6 5 4
